life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
79.51,11.76,16.65,72159.09,0.9196,Very High
62.62,8.37,14.94,13022.21,0.6944,Medium
54.91,4.74,6.28,559.71,0.3595,Low
56.52,2.6,5.25,681.38,0.3357,Low
60.46,5.7,11.73,3720.4,0.5597,Medium
75.35,11.38,13.16,17305.34,0.7904,High
61.08,4.9,3.22,2549.74,0.4275,Low
86,13.42,16.56,95000,0.9681,Very High
83.62,10.7,17.56,59877.05,0.9276,Very High
65.6,6.88,13.61,17790.63,0.6935,Medium
76.8,13.1,15.88,32429.54,0.875,Very High
58.01,4.46,6.93,915.09,0.4055,Low
76.75,11.93,13.71,23182.49,0.8238,Very High
82.69,11.42,14.67,56989.85,0.8998,Very High
50.88,0.5,5.82,521.45,0.2764,Low
68.81,8.16,15.39,9144.81,0.7102,High
74.36,11.14,15.06,51284.83,0.8538,Very High
51.39,6.4,8.42,599.63,0.3881,Low
82.21,12.99,18,60917.12,0.9528,Very High
76.31,12.88,18,63927.17,0.9228,Very High
86,11.1,15.81,42254.62,0.9041,Very High
71.22,13.12,15.26,16270.34,0.8051,Very High
77.63,13.54,17.76,39092.26,0.9107,Very High
81.32,14.17,13.96,43186.75,0.9059,Very High
77.96,11.07,15.31,33674.39,0.8539,Very High
83.42,11.26,14.36,38377.72,0.8789,Very High
75.12,11.99,18,95000,0.9138,Very High
59.31,3.69,9.46,1163.82,0.4422,Low
73.37,11.9,12.24,20470.25,0.7864,High
69.99,10.7,16.45,9117.55,0.7527,High
67.59,5.5,11.1,6518.51,0.6102,Medium
50.61,1.62,5.4,763.91,0.309,Low
74.12,11.14,12.39,21430.64,0.7846,High
63.26,6.38,11.77,1826.56,0.5401,Low
79.07,11.09,15.88,53097.33,0.8872,Very High
55.28,6.0,8.02,1647.21,0.4596,Low
66.5,8.52,13.47,3754.25,0.6365,Medium
60.09,4.78,6.78,906.9,0.4149,Low
78.69,8.76,15.19,37153.92,0.8322,Very High
51.0,3.97,6.68,435.5,0.323,Low
62.7,5.84,9.86,3199.65,0.5442,Low
58.3,4.55,8.7,1159.48,0.4411,Low
51.51,3.6,9.27,679.56,0.3755,Low
51.8,5.47,3.44,564.71,0.3287,Low
78.73,9.19,16.95,13487.65,0.8043,Very High
70.53,6.99,13.84,9361.46,0.6905,Medium
81.22,10.17,15.79,57739.43,0.8894,Very High
72.8,7.2,12.01,11604.93,0.6942,Medium
52.0,4.02,5.9,720.86,0.3524,Low
55.57,5.81,7.34,802.95,0.4092,Low
60.27,6.07,10.99,4229.93,0.5624,Medium
76.34,10.79,17.86,44001.98,0.8802,Very High
67.04,6.24,10.26,2339.63,0.5538,Medium
77.57,13.7,14.14,65975.81,0.9036,Very High
58.54,6.0,10.03,1353.63,0.4816,Low
71.79,9.98,12.55,16086.15,0.7468,High
75.73,9.1,12.46,11473.89,0.7361,High
75.43,10.33,14.74,13604.62,0.7813,High
54.26,6.58,6.15,1495.64,0.438,Low
79.09,11.77,17.38,37046.96,0.8924,Very High
81.59,14.5,17.51,72647.6,0.9706,Very High
78.93,9.99,15.32,24040.18,0.8289,Very High
51.92,1.7,7.95,995.24,0.3616,Low
79.54,12.22,14.42,23649.16,0.8486,Very High
80.54,10.85,16.55,34534.69,0.8774,Very High
77.59,9.06,13.29,14792.0,0.7657,High
72.88,9.1,14.09,12612.96,0.7447,High
79.34,11.57,12.94,9024.7,0.7735,High
61.73,8.01,8.81,5202.52,0.581,Medium
86,13.4,12.82,27812.62,0.8804,Very High
68.78,10.74,15.18,17974.34,0.7713,High
73.82,10.48,12.21,35048.51,0.7961,High
63.89,2.68,12.13,2009.5,0.5073,Low
53.18,5.14,8.37,1536.41,0.4397,Low
80.93,12.3,15.85,35228.75,0.8905,Very High
79.84,10.53,18,48176.14,0.9009,Very High
52.13,1.24,7.08,505.57,0.3065,Low
65.52,9.26,14.17,14021.4,0.7161,High
72.39,11.47,11.43,17485.31,0.7605,High
64.8,5.34,10.26,3575.96,0.5566,Medium
60.7,5.44,10.4,1772.13,0.5037,Low
77.78,11.35,11.51,25423.69,0.8036,Very High
80.96,12.55,17.7,84040.55,0.9486,Very High
58.25,4.73,7.09,1336.72,0.434,Low
78.26,11.95,18,95000,0.9304,Very High
70.82,5.99,9.5,5889.96,0.6066,Medium
65.48,5.16,4.72,1128.76,0.4266,Low
69.06,7.36,11.37,3604.43,0.6121,Medium
65.46,12.71,14.44,10023.13,0.7377,High
71.95,7.63,10.72,10426.85,0.6766,Medium
73.25,3.36,10.01,5354.65,0.5772,Medium
70.73,5.07,13.03,12003.48,0.6692,Medium
74.48,10.04,13.38,14377.2,0.763,High
63.01,6.26,11.28,5795.68,0.5962,Medium
68.76,10.38,16.55,15952.88,0.7737,High
66.94,5.91,10.86,12862.91,0.6417,Medium
78.95,7.6,14.1,13881.52,0.7582,High
60.73,3.44,9.16,2281.44,0.478,Low
71.13,6.17,11.48,16662.14,0.6831,Medium
56.94,3.28,6.29,685.03,0.3606,Low
60.59,2.33,3.07,554.77,0.2975,Low
83.5,11.95,18,95000,0.9573,Very High
61.3,4.46,12.17,6127.95,0.5771,Medium
70.47,9.02,12.05,13902.24,0.7164,High
75.7,8.33,12.86,13426.03,0.7383,High
85.05,10.65,14.9,69371.65,0.9125,Very High
65.31,5.27,4.22,2211.54,0.4571,Low
69.03,8.82,13.89,16071.17,0.7328,High
71.71,8.52,14.97,28847.71,0.7811,High
76.74,13.08,18,80390.11,0.9349,Very High
71.47,9.58,10.53,10193.05,0.6968,Medium
62.09,2.86,6.15,674.71,0.3678,Low
72.77,11.18,13.72,36017.34,0.8164,Very High
82.18,11.04,13.5,35091.07,0.857,Very High
74.05,11.98,17.09,53821.7,0.8838,Very High
69.62,12.47,11.36,28472.82,0.7811,High
58.3,7.01,11.2,1848.54,0.5211,Low
51.63,3.3,5.5,842.25,0.3453,Low
64.81,7.88,10.25,3916.0,0.5935,Medium
58.37,4.13,8.48,1121.18,0.4316,Low
73.94,12.38,17.1,22144.02,0.8439,Very High
71.93,7.86,8.38,4972.41,0.6156,Medium
76.05,12.29,12.84,48551.08,0.8515,Very High
63.04,5.79,5.85,3973.29,0.5078,Low
59.81,3.69,11.83,1977.75,0.4995,Low
77.53,12.35,14.86,32775.2,0.8611,Very High
82.0,11.72,12.84,35184.88,0.8579,Very High
84.82,11.37,18,95000,0.9571,Very High
74.77,12.4,16.05,43966.94,0.8731,Very High
76.82,12.16,16.11,34535.64,0.8698,Very High
70.45,7.34,15.43,9907.67,0.7132,High
72.2,12.12,14.06,13075.07,0.7774,High
58.87,5.0,10.1,1168.08,0.463,Low
76.08,10.81,12.1,18512.32,0.7796,High
69.66,9.55,13.7,11724.44,0.7271,High
60.54,6.35,8.11,2949.34,0.5184,Low
81.65,14.5,16.13,78217.62,0.9595,Very High
67.21,5.95,14.57,9124.52,0.6683,Medium
70.09,6.77,12.21,4848.14,0.6342,Medium
58.69,4.29,8.61,2173.91,0.4731,Low
76.04,7.46,15.38,12560.43,0.7521,High
55.91,6.12,9.31,1997.96,0.4871,Low
60.29,4.31,10.76,2270.35,0.5058,Low
75.32,12.05,17.36,69703.44,0.906,Very High
71.66,11.38,15.04,30384.21,0.8178,Very High
56.17,3.08,10.76,701.4,0.4036,Low
85.73,9.47,14.54,17660.51,0.8255,Very High
82.62,10.86,12.11,30844.81,0.8352,Very High
67.12,7.98,14.2,14862.66,0.7125,High
66.39,5.06,4.87,1251.94,0.4358,Low
64.62,5.52,9.72,1238.7,0.4911,Low
70.47,9.28,9.79,4304.76,0.6354,Medium
55.04,2.54,4.5,722.02,0.3232,Low
79.94,9.65,14.12,20528.68,0.8091,Very High
68.29,7.58,6.85,4628.29,0.5755,Medium
48.17,3.54,9.73,436.36,0.3346,Low
51.5,1.36,8.77,671.8,0.3429,Low
64.69,7.09,11.52,3019.94,0.5818,Medium
69.8,7.72,16.43,15008.46,0.7452,High
62.15,6.05,11.46,1664.62,0.5233,Low
58.96,7.24,7.8,1323.57,0.4749,Low
86,11.96,16.49,55898.06,0.9355,Very High
61.46,6.72,9.06,1561.21,0.5013,Low
77.92,12.01,14.96,30147.1,0.8559,Very High
69.43,9.75,11.07,23095.27,0.734,High
71.63,8.77,12.15,6349.89,0.6795,Medium
80.67,9.26,10.13,30770.06,0.7813,High
48.11,2.87,5.85,473.72,0.2971,Low
83.31,12.28,15.49,53300.91,0.9188,Very High
56.24,3.62,6.38,2732.11,0.4362,Low
63.34,8.42,14.11,8112.73,0.6678,Medium
75.85,9.29,15.15,36594.23,0.8242,Very High
66.29,8.32,9.18,4826.81,0.6055,Medium
48.03,4.03,6.32,711.78,0.3409,Low
86,13.31,16.83,61563.04,0.9597,Very High
77.79,8.36,12.15,19796.86,0.7591,High
64.23,6.6,8.11,1922.76,0.5133,Low
78.48,7.67,14.2,40569.41,0.8096,Very High
71.58,10.49,12.5,9822.03,0.7263,High
75.02,13.18,12.38,34471.91,0.8364,Very High
86,10.86,13.34,33794.23,0.8637,Very High
57.71,1.07,6.16,506.59,0.3088,Low
73.27,11.0,17.36,18196.24,0.8178,Very High
68.02,8.71,11.93,8357.58,0.6747,Medium
77.02,11.74,13.27,25688.56,0.8236,Very High
76.13,8.02,14.45,20430.67,0.7742,High
51.09,2.22,7.36,1167.71,0.367,Low
64.01,7.77,11.37,5157.22,0.6143,Medium
63.8,8.94,8.07,4182.17,0.5832,Medium
47.31,3.74,8.02,514.7,0.3306,Low
59.39,5.2,8.22,1276.67,0.4541,Low
77.91,11.53,13.61,19305.06,0.8143,Very High
79.7,10.62,15.51,35289.0,0.8612,Very High
57.66,0.79,4.12,404.74,0.2582,Low
73.11,10.17,15.39,18987.82,0.7917,High
72.48,8.9,15.49,29744.02,0.7963,High
79.78,13.29,13.5,37899.47,0.8771,Very High
58.94,6.56,10.47,2509.99,0.5296,Low
45.31,3.05,5.56,902.57,0.3212,Low
79.83,10.0,15.73,36537.52,0.8581,Very High
71.46,6.44,14.0,13171.17,0.7062,High
67.48,4.9,7.56,6471.42,0.5559,Medium
66.06,6.63,13.87,7259.64,0.6528,Medium
59.21,4.33,7.19,1015.07,0.4174,Low
48.52,2.56,6.03,550.58,0.3057,Low
86,12.54,16.68,30714.47,0.9135,Very High
62.8,8.02,12.57,4581.07,0.6167,Medium
67.87,4.92,10.06,5328.28,0.581,Medium
57.01,3.93,8.99,834.69,0.4111,Low
72.54,9.83,13.88,22498.98,0.7785,High
63.05,6.71,9.81,4717.69,0.5762,Medium
61.46,8.22,11.13,2967.24,0.5754,Medium
57.3,3.99,6.11,723.09,0.373,Low
79.74,7.53,12.03,16634.21,0.7462,High
48.8,6.74,6.98,746.65,0.3833,Low
74.01,8.06,10.27,12090.08,0.6933,Medium
74.84,8.47,14.75,26060.97,0.7888,High
65.87,6.54,10.69,7716.4,0.6202,Medium
58.48,7.53,6.7,1071.75,0.4526,Low
61.64,4.86,10.0,981.79,0.4598,Low
80.06,10.91,13.59,45855.63,0.8591,Very High
52.89,4.07,8.95,649.74,0.3802,Low
80.49,12.29,12.61,36063.17,0.8568,Very High
55.24,5.03,8.59,1229.31,0.4371,Low
66.04,10.41,8.52,7622.19,0.6469,Medium
73.79,4.63,8.62,3019.45,0.5516,Medium
53.11,5.53,11.52,2473.89,0.4993,Low
54.84,5.67,9.13,739.08,0.4154,Low
58.02,0.72,6.46,893.84,0.3401,Low
61.42,4.53,4.98,2013.96,0.4372,Low
54.23,4.86,9.03,1342.54,0.4402,Low
68.72,12.34,11.22,6221.48,0.6967,Medium
85.66,10.4,16.49,57184.36,0.9172,Very High
63.01,3.13,10.97,2263.85,0.5033,Low
67.33,6.95,10.81,6037.04,0.6214,Medium
68.51,6.22,13.17,8462.3,0.6595,Medium
64.53,5.78,9.85,1742.37,0.5166,Low
58.34,2.08,9.37,742.85,0.3892,Low
61.09,5.91,7.66,1377.93,0.4682,Low
63.71,6.04,11.25,3784.74,0.5745,Medium
56.49,7.58,10.1,6573.79,0.5741,Medium
59.04,3.99,11.16,5244.33,0.542,Low
73.95,12.69,12.53,23771.13,0.8087,Very High
75.13,10.48,10.93,19829.69,0.762,High
56.94,2.28,7.07,845.65,0.3682,Low
84.79,11.93,13.48,33505.73,0.8776,Very High
51.9,2.9,8.46,471.22,0.3365,Low
81.67,12.57,16.9,76955.37,0.9447,Very High
64.04,2.98,9.47,2957.78,0.5008,Low
67.95,4.47,11.45,2679.87,0.5552,Medium
79.39,12.75,18,71834.97,0.9434,Very High
77.81,10.21,12.14,25931.24,0.7968,High
68.38,8.55,11.18,6884.7,0.6569,Medium
65.62,9.66,12.31,10837.55,0.6909,Medium
71.93,14.5,14.8,67395.54,0.8891,Very High
86,13.4,14.31,83241.66,0.9451,Very High
75.9,9.23,11.03,13461.64,0.7312,High
57.55,3.45,5.2,538.97,0.3366,Low
65.09,6.85,13.89,8250.18,0.6573,Medium
72.32,9.57,12.3,28402.93,0.7685,High
63.67,6.35,6.96,1547.32,0.4829,Low
69.43,9.34,6.49,9897.69,0.6378,Medium
64.02,4.27,11.67,2304.71,0.531,Low
69.31,6.0,13.29,5212.18,0.6366,Medium
78.03,12.56,17.37,41994.43,0.902,Very High
84.95,9.9,18,45467.78,0.9153,Very High
75.75,10.69,15.03,31836.54,0.8329,Very High
82.68,11.01,12.49,35269.33,0.848,Very High
68.01,7.66,9.48,13786.84,0.6581,Medium
68.4,9.49,14.22,18626.55,0.7479,High
81.3,11.42,15.99,68403.93,0.9154,Very High
81.81,9.55,17.6,66301.77,0.9099,Very High
66.29,6.49,11.5,4426.54,0.6022,Medium
52.99,5.93,5.38,1309.04,0.409,Low
83.04,10.91,14.34,44181.92,0.8793,Very High
52.77,5.13,6.28,786.76,0.3786,Low
86,14.17,15.91,53652.68,0.9539,Very High
72.61,10.18,15.81,38669.48,0.8276,Very High
67.31,8.05,13.25,11056.85,0.6905,Medium
66.75,9.05,11.92,18333.71,0.7102,High
68.95,5.17,11.11,5784.64,0.6054,Medium
47.82,3.3,7.36,673.43,0.3384,Low
59.65,3.04,12.58,1589.45,0.4862,Low
51.05,4.84,6.59,946.0,0.3822,Low
59.39,5.62,8.5,1964.76,0.4869,Low
71.63,11.77,13.63,12545.03,0.7646,High
67.61,10.71,10.19,9156.7,0.6839,Medium
67.15,7.79,13.5,5612.47,0.6542,Medium
84.64,14.0,18,79370.08,0.987,Very High
78.33,10.31,12.31,44527.85,0.8276,Very High
69.85,5.11,10.89,3578.75,0.5809,Medium
61.64,5.98,9.74,3435.14,0.5439,Low
67.94,6.34,14.26,6045.36,0.6523,Medium
58.11,3.07,7.76,667.7,0.3768,Low
82.95,11.33,14.21,64009.42,0.9005,Very High
53.93,3.52,4.54,525.34,0.317,Low
67.67,8.54,11.86,10064.54,0.6794,Medium
84.45,11.63,15.15,95000,0.929,Very High
67.77,6.63,12.55,6266.54,0.6396,Medium
78.84,9.16,14.25,12210.61,0.7723,High
78.56,9.85,16.65,15742.52,0.8165,Very High
71.52,9.41,13.59,25572.71,0.7712,High
66.41,6.95,14.55,14469.87,0.6988,Medium
52.93,2.12,7.9,481.98,0.3268,Low
53.8,2.23,8.3,650.81,0.3553,Low
80.42,11.07,16.39,48860.85,0.8949,Very High
58.82,4.02,9.14,2532.98,0.4836,Low
79.87,13.21,16.43,44101.72,0.9124,Very High
70.6,7.15,13.56,14489.88,0.7112,High
71.22,12.12,11.7,9251.17,0.7324,High
56.28,3.02,5.84,1633.28,0.3956,Low
77.54,11.51,13.97,26060.43,0.831,Very High
86,9.39,17.28,71904.67,0.9237,Very High
59.24,3.82,7.87,1978.71,0.4549,Low
68.24,9.05,13.81,4873.76,0.6684,Medium
50.83,2.18,7.64,1051.54,0.3635,Low
67.74,7.47,9.39,8032.14,0.6283,Medium
53.57,2.95,3.17,619.34,0.2983,Low
71.78,5.25,9.29,3675.51,0.5727,Medium
81.24,14.5,17.26,71440.12,0.9656,Very High
63.84,7.79,15.98,7883.35,0.679,Medium
57.96,3.3,13.32,805.16,0.4453,Low
54.5,6.47,14.36,3168.27,0.5543,Medium
85.86,11.76,18,60312.3,0.9519,Very High
64.96,5.0,4.88,1893.59,0.4529,Low
77.22,11.56,16.18,42572.63,0.8758,Very High
65.94,8.01,10.78,3687.15,0.602,Medium
69.99,7.31,14.62,6736.6,0.6825,Medium
77.25,11.04,14.54,32426.1,0.8404,Very High
53.57,4.56,7.46,955.96,0.3985,Low
79.63,9.93,14.25,23189.75,0.8186,Very High
72.37,8.69,14.33,15044.01,0.7486,High
55.7,6.41,10.01,3175.59,0.5206,Low
57.0,2.66,6.34,704.73,0.3543,Low
58.47,5.51,6.0,749.19,0.3981,Low
64.34,8.38,11.39,7156.95,0.64,Medium
58.9,1.68,10.43,1655.84,0.4442,Low
79.18,10.65,15.84,19430.95,0.8321,Very High
65.65,7.18,10.53,7256.07,0.623,Medium
55.53,5.19,9.09,827.14,0.4202,Low
73.71,11.41,14.3,32379.88,0.8248,Very High
68.43,4.83,8.46,5789.11,0.5655,Medium
75.03,9.99,13.84,23764.33,0.7947,High
86,12.71,17.35,85848.58,0.9675,Very High
65.12,3.96,13.07,3556.73,0.5702,Medium
68.64,6.56,13.3,3070.08,0.6106,Medium
60.73,4.12,7.59,2900.43,0.4805,Low
64.33,7.5,6.97,2518.46,0.5283,Low
58.65,4.46,7.64,1655.28,0.4498,Low
61.76,7.43,12.01,8764.76,0.632,Medium
65.58,4.11,11.52,2126.55,0.5289,Low
65.51,3.52,11.83,3913.22,0.5571,Medium
58.81,3.53,6.95,660.22,0.3754,Low
73.53,10.78,14.88,29598.59,0.8178,Very High
48.67,2.59,7.79,434.59,0.3095,Low
56.28,4.21,8.85,2523.72,0.472,Low
53.5,2.68,7.38,914.08,0.3701,Low
86,10.17,15.1,60844.59,0.9022,Very High
76.74,6.83,9.95,4647.03,0.6343,Medium
59.19,5.93,7.35,2680.79,0.4938,Low
68.55,6.18,10.35,4000.29,0.59,Medium
72.33,10.56,15.16,55129.68,0.8403,Very High
60.17,6.74,11.75,1300.28,0.5091,Low
52.82,2.05,6.71,824.88,0.3448,Low
72.91,7.94,12.84,8240.44,0.696,Medium
61.56,8.54,9.9,11436.8,0.6351,Medium
59.98,0.69,11.42,646.53,0.3893,Low
67.02,9.31,12.4,7368.69,0.675,Medium
69.95,6.62,10.41,7722.4,0.6361,Medium
54.48,4.74,13.01,2108.78,0.5025,Low
71.17,4.35,9.88,5692.11,0.5865,Medium
70.09,9.02,11.9,11942.15,0.7057,High
68.27,8.8,11.52,10474.64,0.684,Medium
73.34,11.18,14.61,32823.4,0.8238,Very High
84.36,10.59,13.95,34429.38,0.8648,Very High
80.93,12.84,10.74,30384.01,0.8377,Very High
68.1,7.56,15.37,8014.49,0.6929,Medium
79.74,10.18,13.45,77774.21,0.8685,Very High
57.96,4.35,6.81,1393.69,0.4266,Low
68.86,7.0,10.73,11568.03,0.6593,Medium
49.65,2.0,4.65,405.52,0.2664,Low
86,13.05,15.25,62582.22,0.9417,Very High
83.25,12.43,16.7,59737.38,0.938,Very High
69.68,6.71,10.4,7557.32,0.6349,Medium
53.04,4.65,10.88,4517.14,0.5115,Low
75.18,8.89,15.37,36947.56,0.8185,Very High
61.99,6.01,11.27,3137.1,0.5568,Medium
61.08,8.56,8.24,5321.92,0.58,Medium
52.18,2.97,7.92,898.8,0.3742,Low
79.84,11.83,18,57098.34,0.9243,Very High
80.52,11.74,17.3,49306.62,0.9128,Very High
77.94,11.27,16.15,63058.32,0.8945,Very High
54.24,3.79,7.75,533.69,0.3572,Low
78.08,14.06,18,72574.66,0.9514,Very High
64.52,9.95,15.79,21307.98,0.7531,High
75.66,13.39,16.96,36012.09,0.8873,Very High
80.22,10.73,16.6,26186.58,0.8608,Very High
66.42,5.34,8.78,2251.18,0.5214,Low
47.74,1.12,6.77,598.96,0.2964,Low
54.05,1.63,7.59,809.26,0.3528,Low
57.16,3.21,6.26,780.74,0.3681,Low
56.31,4.97,5.72,778.48,0.3831,Low
49.85,2.82,4.99,427.07,0.286,Low
62.45,7.67,13.57,3795.95,0.6101,Medium
86,11.69,16.81,61246.32,0.9399,Very High
53.39,5.19,9.3,902.76,0.4191,Low
63.15,6.69,10.62,4381.16,0.5812,Medium
69.68,8.33,14.08,12788.84,0.7208,High
80.46,14.25,16.97,60109.69,0.9476,Very High
64.88,2.96,10.64,2419.57,0.5079,Low
63.76,5.2,7.7,3244.84,0.5156,Low
82.32,14.5,14.3,76824.01,0.9451,Very High
53.24,6.61,7.97,1556.85,0.4542,Low
65.53,7.17,11.26,7136.19,0.6292,Medium
77.26,13.05,15.1,73129.03,0.9084,Very High
77.24,7.2,11.84,18756.02,0.7343,High
72.46,11.16,12.28,9540.76,0.7345,High
57.15,2.71,5.08,662.58,0.3356,Low
80.42,10.37,16.55,50991.44,0.8901,Very High
75.79,11.36,18,58236.79,0.8985,Very High
69.48,10.94,18,15855.49,0.7957,High
68.31,10.93,15.32,15164.33,0.7636,High
50.11,3.91,3.76,413.76,0.2857,Low
66.38,8.83,12.66,7398.59,0.6692,Medium
67.02,7.78,12.98,6614.62,0.6573,Medium
86,14.5,17.56,80908.74,0.9903,Very High
67.17,8.67,9.1,4825.29,0.6128,Medium
72.97,10.81,13.99,16256.86,0.7772,High
76.12,9.53,17.99,57574.63,0.8784,Very High
59.62,5.47,4.46,1304.5,0.4168,Low
56.0,5.09,7.33,1241.35,0.4285,Low
49.02,1.67,4.83,431.85,0.2655,Low
76.5,12.16,13.99,17293.63,0.8129,Very High
55.35,2.42,6.2,804.26,0.3513,Low
62.37,3.49,7.33,1418.43,0.4371,Low
68.24,8.0,14.13,9235.3,0.6942,Medium
77.56,9.74,14.38,31481.6,0.8229,Very High
57.21,4.34,8.6,1019.93,0.4255,Low
65.98,8.02,10.76,6783.98,0.6343,Medium
70.24,6.97,15.28,12497.51,0.718,High
69.35,8.39,10.82,5758.92,0.6461,Medium
64.73,6.0,11.8,1961.68,0.5465,Low
61.62,7.63,8.59,7144.81,0.5882,Medium
67.97,7.56,11.48,4983.72,0.629,Medium
57.26,4.81,6.16,1892.33,0.4387,Low
74.94,10.2,16.77,30036.09,0.8373,Very High
73.83,13.13,17.83,36762.1,0.8833,Very High
70.98,7.97,13.46,6193.93,0.6786,Medium
64.79,5.27,7.35,2512.12,0.5032,Low
72.28,6.73,11.1,5666.17,0.6393,Medium
66.85,10.37,11.74,9034.2,0.6907,Medium
55.61,4.52,9.09,894.6,0.4181,Low
56.4,4.77,8.67,1627.83,0.4553,Low
66.66,1.54,8.59,1601.71,0.4436,Low
85.69,9.31,18,72526.97,0.9308,Very High
56.46,2.55,6.58,605.03,0.3444,Low
74.58,8.82,13.12,23393.21,0.7694,High
59.09,7.19,11.14,3603.26,0.5633,Medium
66.39,11.14,8.67,8547.72,0.6646,Medium
68.35,5.64,9.28,1849.13,0.5268,Low
64.11,5.83,13.09,5147.9,0.6087,Medium
55.13,4.84,8.0,1721.5,0.4467,Low
57.26,4.8,8.07,2523.61,0.4754,Low
75.64,9.71,13.93,13705.86,0.7675,High
57.05,2.1,11.9,785.21,0.4143,Low
56.28,3.49,7.6,1114.13,0.4052,Low
81.77,14.42,16.26,72247.21,0.9586,Very High
83.67,13.24,14.99,66510.67,0.9378,Very High
54.7,2.64,10.62,1423.36,0.4345,Low
55.54,5.7,10.23,831.87,0.4362,Low
82.78,10.87,15.45,34872.57,0.8777,Very High
63.18,5.52,8.77,4236.55,0.5438,Low
55.78,1.03,11.3,1193.51,0.4156,Low
54.49,3.53,6.43,760.87,0.364,Low
73.7,9.33,11.62,22574.59,0.7539,High
81.67,11.82,15.5,34507.91,0.8838,Very High
66.82,5.93,11.15,3513.68,0.5813,Medium
47.84,2.26,4.49,536.3,0.279,Low
77.55,7.8,12.9,19987.33,0.7595,High
67.79,6.35,15.23,7036.18,0.6693,Medium
81.46,12.52,14.08,70445.14,0.9116,Very High
80.15,7.19,12.69,6771.83,0.704,High
76.66,10.87,14.22,33575.17,0.834,Very High
83.5,12.23,17.78,73794.23,0.9577,Very High
57.95,3.42,3.91,491.96,0.315,Low
62.17,8.69,13.45,6616.33,0.6484,Medium
70.97,10.05,11.57,11168.61,0.7157,High
74.4,10.55,12.62,25730.0,0.7899,High
79.51,10.43,13.05,11992.6,0.7776,High
55.69,3.46,4.28,580.82,0.3245,Low
60.48,2.94,11.47,2507.65,0.5017,Low
79.65,12.9,10.6,17207.28,0.8026,Very High
76.27,10.61,14.21,17655.12,0.7969,High
81.16,11.39,16.25,43498.03,0.8953,Very High
51.01,0.79,8.46,610.55,0.3242,Low
57.43,5.97,9.03,3062.51,0.5115,Low
47.87,2.06,7.42,833.83,0.3354,Low
53.49,1.63,4.74,521.13,0.2881,Low
62.42,2.41,3.88,809.17,0.3385,Low
72.84,10.79,11.66,24915.29,0.7737,High
62.9,5.66,5.11,1731.04,0.4547,Low
60.06,0.5,8.62,1039.69,0.3823,Low
64.72,9.95,10.05,5877.11,0.6371,Medium
51.85,3.93,5.25,508.86,0.3218,Low
62.33,6.15,11.27,4474.8,0.5786,Medium
81.71,10.78,17.75,52813.89,0.9152,Very High
53.8,6.92,11.73,1092.84,0.4711,Low
45.77,0.5,5.9,376.09,0.2428,Low
68.89,9.57,17.53,8507.28,0.741,High
82.43,11.69,15.57,16925.39,0.8491,Very High
66.99,12.63,14.4,18425.89,0.7762,High
55.34,2.93,5.72,771.5,0.3505,Low
84.01,13.77,15.32,94945.66,0.955,Very High
